,inchikey,y
0,DDBREPKUVSBGFI-UHFFFAOYSA-N,2.681
1,YVGGHNCTFXOJCH-UHFFFAOYSA-N,7.271
2,XZIDTOHMJBOSOX-UHFFFAOYSA-N,4.424
3,UFBJCMHMOXMLKC-UHFFFAOYSA-N,4.224
4,JOYRKODLDBILNP-UHFFFAOYSA-N,1.231
5,NFACJZMKEDPNKN-UHFFFAOYSA-N,3.373
6,WBNQDOYYEUMPFS-UHFFFAOYSA-N,2.12
7,KXDAEFPNCMNJSK-UHFFFAOYSA-N,2.263
8,PNVJTZOFSHSLTO-UHFFFAOYSA-N,4.939
9,SNIOPGDIGTZGOP-UHFFFAOYSA-N,4.919
10,VZGDMQKNWNREIO-UHFFFAOYSA-N,3.57
11,LCCNCVORNKJIRZ-UHFFFAOYSA-N,5.315
12,ZOJBYZNEUISWFT-UHFFFAOYSA-N,6.064
13,RHUYHJGZWVXEHW-UHFFFAOYSA-N,3.884
14,OSASVXMJTNOKOY-UHFFFAOYSA-N,3.119
15,VIROVYVQCGLCII-UHFFFAOYSA-N,3.423
16,DNIAPMSPPWPWGF-UHFFFAOYSA-N,0.349
17,BIWJNBZANLAXMG-UHFFFAOYSA-N,6.819
18,MJVAVZPDRWSRRC-UHFFFAOYSA-N,6.195
19,JLYXXMFPNIAWKQ-GNIYUCBRSA-N,6.607
20,VGVRPFIJEJYOFN-UHFFFAOYSA-N,5.352
21,CFKMVGJGLGKFKI-UHFFFAOYSA-N,4.416
22,KCXVZYZYPLLWCC-UHFFFAOYSA-N,3.689
23,RTZKZFJDLAIYFH-UHFFFAOYSA-N,1.462
24,DFBKLUNHFCTMDC-PICURKEMSA-N,7.21
25,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,2.993
26,YUKQRDCYNOVPGJ-UHFFFAOYSA-N,2.444
27,OEBRKCOSUFCWJD-UHFFFAOYSA-N,4.742
28,UMFJAHHVKNCGLG-UHFFFAOYSA-N,1.897
29,CVXBEEMKQHEXEN-UHFFFAOYSA-N,4.446
30,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,0.534
31,QTBSBXVTEAMEQO-UHFFFAOYSA-N,2.857
32,SKZKKFZAGNVIMN-UHFFFAOYSA-N,3.133
33,JARKCYVAAOWBJS-UHFFFAOYSA-N,3.756
34,DOBMPNYZJYQDGZ-UHFFFAOYSA-N,4.818
35,QWLHJVDRPZNVBS-UHFFFAOYSA-N,4.634
36,OKKJLVBELUTLKV-UHFFFAOYSA-N,0.056
37,KFZMGEQAYNKOFK-UHFFFAOYSA-N,0.778
38,CSCPPACGZOOCGX-UHFFFAOYSA-N,0.854
39,HEDRZPFGACZZDS-UHFFFAOYSA-N,3.094
40,VHHHONWQHHHLTI-UHFFFAOYSA-N,5.242
41,CWERGRDVMFNCDR-UHFFFAOYSA-N,3.487
42,ACGUYXCXAPNIKK-UHFFFAOYSA-N,7.287
43,FHNKBSDJERHDHZ-UHFFFAOYSA-N,6.665
44,FSWXOANXOQPCFF-UHFFFAOYSA-N,3.009
45,BDERNNFJNOPAEC-UHFFFAOYSA-N,1.12
46,LRHPLDYGYMQRHN-UHFFFAOYSA-N,1.589
47,AMQJEAYHLZJPGS-UHFFFAOYSA-N,2.217
48,UHOVQNZJYSORNB-UHFFFAOYSA-N,3.445
49,UOCLXMDMGBRAIB-UHFFFAOYSA-N,3.402
50,IAKOZHOLGAGEJT-UHFFFAOYSA-N,7.607
